NAME             READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS       IMAGES                                SELECTOR
atlas-core       0/2     2            0           5m1s   atlas-core       atlas-mcp/atlas-core:dev-latest       app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=atlas-core,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
atlas-frontend   0/3     3            0           5m1s   atlas-frontend   atlas-mcp/atlas-frontend:dev-latest   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=atlas-frontend,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
grafana          0/1     1            0           5m1s   grafana          grafana/grafana:latest                app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=grafana,environment=development,tier=dev
mcp-automation   0/2     2            0           5m1s   mcp-automation   atlas-mcp/mcp-automation:dev-latest   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-automation,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-automator    0/2     2            0           5m1s   mcp-automator    atlas-mcp/mcp-automator:dev-latest    app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-automator,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-playwright   0/2     2            0           5m1s   mcp-playwright   atlas-mcp/mcp-playwright:latest       app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-playwright,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-tts          0/2     2            0           5m1s   mcp-tts          atlas-mcp/mcp-tts:dev-latest          app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-tts,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
ollama           0/1     1            0           5m1s   ollama           ollama/ollama:latest                  app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=ollama,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
prometheus       0/1     1            0           5m1s   prometheus       prom/prometheus:latest                app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=prometheus,environment=development,tier=dev
qdrant           1/1     1            1           5m1s   qdrant           qdrant/qdrant:latest                  app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=qdrant,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
redis            1/1     1            1           5m1s   redis            redis:7-alpine                        app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=redis,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
redis-exporter   1/1     1            1           5m1s   redis-exporter   oliver006/redis_exporter:v1.66.0      app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=redis-exporter,environment=development,tier=dev
