NAME                     TYPE           CLUSTER-IP       EXTERNAL-IP            PORT(S)             AGE    SELECTOR
atlas-core-service       ClusterIP      10.108.30.34     <none>                 8000/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=atlas-core,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
atlas-frontend-service   ClusterIP      10.99.69.233     <none>                 8080/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=atlas-frontend,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
grafana-service          ClusterIP      10.109.78.3      <none>                 3000/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=grafana,environment=development,tier=dev
mcp-automation-service   ClusterIP      10.101.201.162   <none>                 4002/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-automation,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-automator-service    ClusterIP      10.107.169.169   <none>                 4003/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-automator,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-playwright-service   ClusterIP      10.99.26.36      <none>                 4005/TCP            5m2s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-playwright,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
mcp-tts-service          ClusterIP      10.110.34.55     <none>                 4004/TCP            5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=mcp-tts,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
ollama-host              ExternalName   <none>           host.docker.internal   11434/TCP           5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,environment=development,tier=dev
ollama-host-service      ClusterIP      None             <none>                 11434/TCP           5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
ollama-service           ClusterIP      10.111.223.62    <none>                 11434/TCP           5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=ollama,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
prometheus-service       ClusterIP      10.105.202.214   <none>                 9090/TCP            5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=prometheus,environment=development,tier=dev
qdrant-service           ClusterIP      10.109.86.184    <none>                 6333/TCP,6334/TCP   5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=qdrant,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
redis-exporter-service   ClusterIP      10.102.237.227   <none>                 9121/TCP            5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=redis-exporter,environment=development,tier=dev
redis-service            ClusterIP      10.106.196.189   <none>                 6379/TCP            5m1s   app.kubernetes.io/instance=atlas-mcp,app.kubernetes.io/managed-by=kustomize,app.kubernetes.io/name=redis,app.kubernetes.io/part-of=atlas-autonomous-system,environment=development,tier=dev
